EmotionCategory,Probability,FrameID
Aesthetic Appreciation,0.288193,frame00201
Amusement,0.0906292,frame00201
Anxiety,0.1272375,frame00201
Awe,0.2818467,frame00201
Boredom,0.03317229,frame00201
Confusion,0.00518597,frame00201
Craving,0.000215757,frame00201
Disgust,0.0003020569,frame00201
Empathic Pain,0.00259668,frame00201
Entrancement,8.175304e-05,frame00201
Excitement,0.01310423,frame00201
Fear,0.01901954,frame00201
Horror,0.05171081,frame00201
Interest,0.07098238,frame00201
Joy,0.000340184,frame00201
Romance,2.383487e-05,frame00201
Sadness,0.006850284,frame00201
Sexual Desire,7.447757e-06,frame00201
Surprise,0.006020562,frame00201
Adoration,0.009991493,frame00209
Aesthetic Appreciation,0.00178345,frame00209
Amusement,0.1311734,frame00209
Anxiety,0.0578918,frame00209
Awe,0.008480199,frame00209
Boredom,0.03131229,frame00209
Confusion,0.0003965017,frame00209
Craving,4.981866e-06,frame00209
Disgust,0.005200532,frame00209
Empathic Pain,0.002048126,frame00209
Entrancement,6.586403e-07,frame00209
Excitement,0.03117036,frame00209
Fear,0.03282126,frame00209
Horror,0.2534397,frame00209
Interest,0.1051485,frame00209
Joy,0.001178448,frame00209
Romance,0.0001814831,frame00209
Sadness,0.3209813,frame00209
Sexual Desire,7.45548e-06,frame00209
Surprise,0.00678807,frame00209
Adoration,0.003190596,frame00217
Aesthetic Appreciation,0.000950206,frame00217
Amusement,0.2663798,frame00217
Anxiety,0.07143618,frame00217
Awe,0.003822642,frame00217
Boredom,0.1476933,frame00217
Confusion,0.0005024469,frame00217
Craving,2.857718e-05,frame00217
Disgust,0.01242144,frame00217
Empathic Pain,0.001249958,frame00217
Entrancement,4.033193e-07,frame00217
Excitement,0.007274138,frame00217
Fear,0.02288316,frame00217
Horror,0.02095349,frame00217
Interest,0.2224724,frame00217
Joy,0.1353235,frame00217
Romance,0.001582522,frame00217
Sadness,0.07729045,frame00217
Sexual Desire,2.784999e-05,frame00217
Surprise,0.004516684,frame00217
Adoration,0.003347538,frame00225
Aesthetic Appreciation,0.004065669,frame00225
Amusement,0.1779079,frame00225
Anxiety,0.004270324,frame00225
Awe,0.003493493,frame00225
Boredom,0.002314917,frame00225
Confusion,0.0005133875,frame00225
Craving,0.000564798,frame00225
Disgust,0.004654429,frame00225
Empathic Pain,0.003933558,frame00225
Entrancement,3.198285e-05,frame00225
Excitement,0.02177158,frame00225
Fear,0.02228647,frame00225
Horror,0.3921268,frame00225
Interest,0.1485089,frame00225
Joy,0.007649004,frame00225
Romance,0.001682365,frame00225
Sadness,0.2000129,frame00225
Sexual Desire,4.353805e-05,frame00225
Surprise,0.000820455,frame00225
Adoration,0.05657958,frame00233
Aesthetic Appreciation,0.006054585,frame00233
Amusement,0.001789001,frame00233
Anxiety,0.02980663,frame00233
Awe,0.159307,frame00233
Boredom,0.000977503,frame00233
Confusion,0.0004451043,frame00233
Craving,8.835342e-06,frame00233
Disgust,1.839004e-05,frame00233
Empathic Pain,0.001454637,frame00233
Entrancement,5.346346e-05,frame00233
Excitement,0.001858315,frame00233
Fear,0.0491854,frame00233
Horror,0.5804046,frame00233
Interest,0.09825984,frame00233
Joy,0.000159625,frame00233
Romance,1.415136e-05,frame00233
Sadness,0.01357751,frame00233
Sexual Desire,4.957773e-07,frame00233
Surprise,4.534249e-05,frame00233
Adoration,0.0141008,frame00241
Aesthetic Appreciation,0.0002691783,frame00241
Amusement,0.00331359,frame00241
Anxiety,0.6403884,frame00241
Awe,0.01368741,frame00241
Boredom,0.0003876969,frame00241
Confusion,0.0001999681,frame00241
Craving,1.02092e-05,frame00241
Disgust,0.002356994,frame00241
Empathic Pain,1.190316e-05,frame00241
Entrancement,2.733004e-05,frame00241
Excitement,0.001004898,frame00241
Fear,0.06906631,frame00241
Horror,0.01406961,frame00241
Interest,0.048742,frame00241
Joy,0.0004322689,frame00241
Romance,7.177428e-05,frame00241
Sadness,0.1916239,frame00241
Sexual Desire,2.527646e-07,frame00241
Surprise,0.0002355345,frame00241
Adoration,0.001049821,frame00249
Aesthetic Appreciation,0.0002880921,frame00249
Amusement,5.384314e-05,frame00249
Anxiety,0.02372721,frame00249
Awe,0.1181731,frame00249
Boredom,0.0006023122,frame00249
Confusion,0.0003932218,frame00249
Craving,3.704947e-06,frame00249
Disgust,1.219692e-05,frame00249
Empathic Pain,0.0001779743,frame00249
Entrancement,4.48199e-06,frame00249
Excitement,0.002380577,frame00249
Fear,0.002193526,frame00249
Horror,0.03754295,frame00249
Interest,0.8127266,frame00249
Joy,6.763681e-06,frame00249
Romance,4.978914e-06,frame00249
Sadness,0.0005937135,frame00249
Sexual Desire,1.2073e-07,frame00249
Surprise,6.495992e-05,frame00249
Adoration,0.05251073,frame00257
Aesthetic Appreciation,0.0002782796,frame00257
Amusement,0.004412505,frame00257
Anxiety,0.02838964,frame00257
Awe,0.2245775,frame00257
Boredom,0.0003693366,frame00257
Confusion,0.000512914,frame00257
Craving,8.258263e-06,frame00257
Disgust,0.0007088521,frame00257
Empathic Pain,0.01563989,frame00257
Entrancement,3.288756e-06,frame00257
Excitement,0.0034636,frame00257
Fear,0.0223796,frame00257
Horror,0.01537387,frame00257
Interest,0.3672502,frame00257
Joy,0.002419653,frame00257
Romance,7.247156e-05,frame00257
Sadness,0.2605568,frame00257
Sexual Desire,2.375317e-06,frame00257
Surprise,0.001070226,frame00257
Adoration,0.01679351,frame00265
Aesthetic Appreciation,0.0001105151,frame00265
Amusement,0.002413084,frame00265
Anxiety,0.1275389,frame00265
Awe,0.1042427,frame00265
Boredom,0.001992414,frame00265
Confusion,0.02971235,frame00265
Craving,5.50174e-05,frame00265
Disgust,0.001545641,frame00265
Empathic Pain,0.001687373,frame00265
Entrancement,5.527231e-05,frame00265
Excitement,0.00120112,frame00265
Fear,0.03629695,frame00265
Horror,0.001780821,frame00265
Interest,0.5866395,frame00265
Joy,0.001549351,frame00265
Romance,9.778018e-05,frame00265
Sadness,0.08204568,frame00265
Sexual Desire,2.477475e-06,frame00265
Surprise,0.004239543,frame00265
Adoration,0.0258706,frame00273
Aesthetic Appreciation,0.001056317,frame00273
Amusement,0.01867028,frame00273
Anxiety,0.05308274,frame00273
Awe,0.3437027,frame00273
Boredom,0.05897859,frame00273
Confusion,0.0570732,frame00273
Craving,2.809369e-05,frame00273
Disgust,0.01173744,frame00273
Empathic Pain,0.004543812,frame00273
Entrancement,0.000285897,frame00273
Excitement,0.001877267,frame00273
Fear,0.0441393,frame00273
Horror,0.0009872828,frame00273
Interest,0.3211463,frame00273
Joy,0.02211607,frame00273
Romance,0.0006034572,frame00273
Sadness,0.02410378,frame00273
Sexual Desire,9.329393e-06,frame00273
Surprise,0.009987565,frame00273
Adoration,0.003677912,frame00281
Aesthetic Appreciation,0.006479884,frame00281
Amusement,0.0008347498,frame00281
Anxiety,0.3050241,frame00281
Awe,0.3544038,frame00281
Boredom,0.01044229,frame00281
Confusion,0.009743145,frame00281
Craving,0.000336491,frame00281
Disgust,0.0002715431,frame00281
Empathic Pain,0.04519877,frame00281
Entrancement,1.860986e-05,frame00281
Excitement,0.01210391,frame00281
Fear,0.06559573,frame00281
Horror,0.01072147,frame00281
Interest,0.09832453,frame00281
Joy,0.0007227641,frame00281
Romance,0.0001367998,frame00281
Sadness,0.05179571,frame00281
Sexual Desire,1.241857e-06,frame00281
Surprise,0.02416648,frame00281
Adoration,0.08517538,frame00289
Aesthetic Appreciation,0.001249306,frame00289
Amusement,0.02418538,frame00289
Anxiety,0.02955936,frame00289
Awe,0.4632003,frame00289
Boredom,0.03723821,frame00289
Confusion,0.01192117,frame00289
Craving,3.603075e-05,frame00289
Disgust,0.0007528796,frame00289
Empathic Pain,0.04447083,frame00289
Entrancement,0.0001213011,frame00289
Excitement,0.02808024,frame00289
Fear,0.03256571,frame00289
Horror,0.00892682,frame00289
Interest,0.1761545,frame00289
Joy,0.01137088,frame00289
Romance,0.0008021029,frame00289
Sadness,0.03130921,frame00289
Sexual Desire,3.163647e-05,frame00289
Surprise,0.01284865,frame00289
Adoration,0.005843076,frame00297
Aesthetic Appreciation,0.001254541,frame00297
Amusement,0.002389447,frame00297
Anxiety,0.5731679,frame00297
Awe,0.03750842,frame00297
Boredom,0.02836983,frame00297
Confusion,0.00954229,frame00297
Craving,8.276475e-05,frame00297
Disgust,0.0002597175,frame00297
Empathic Pain,0.005614368,frame00297
Entrancement,4.800272e-05,frame00297
Excitement,0.007184173,frame00297
Fear,0.07817651,frame00297
Horror,0.02384009,frame00297
Interest,0.1813193,frame00297
Joy,0.001557643,frame00297
Romance,0.0002985637,frame00297
Sadness,0.04071989,frame00297
Sexual Desire,6.174864e-06,frame00297
Surprise,0.002817319,frame00297
Adoration,0.005843076,frame00305
Aesthetic Appreciation,0.001254541,frame00305
Amusement,0.002389447,frame00305
